ticker,return,volatility,volume,cluster,cluster_proba
BMY,0.00053734976363337,0.014401635611747184,8033568.523462784,0,0.9406543057478035
BRK.B,0.0005724063626205974,0.008729778794878768,3572199.611470113,2,0.7997053353878727
BSX,0.0011406432410453315,0.01506605708211056,10695109.438610662,0,0.5875633593292081
BWA,0.00041742770854646824,0.016450639997220663,1880367.6777059773,2,0.8071912305906499
BXP,0.00015251194408675845,0.011193796745293938,809560.071082391,2,0.9726907278870471
C,0.0004791615539099098,0.014054177015800497,20478346.090468496,3,0.9999993020240254
CA,0.0003241785144056659,0.011753840828831519,2760444.8554119547,2,0.958613601844896
CAG,0.0001422325452915649,0.012369290861395217,3319202.666397415,2,0.863616549157858
CAH,0.0003697285474206924,0.013250215323488952,2407228.147819063,2,0.960474854015574
CAT,0.0005270970124249146,0.013427954563014644,5405005.037156705,0,0.9413997553859956
CB,0.0004685137434996891,0.009023307788312668,1569459.3998384492,2,0.9907546187114478
CBG,0.0005525632932044931,0.01497845096039045,2259319.839256866,2,0.918122618243298
CBOE,0.0010142810775487972,0.011531480840473713,734148.810177706,2,0.984024613986153
CBS,0.00023264053886415495,0.014299952365016085,5473899.928109854,0,0.9861061722203767
CCI,0.0004005383683453509,0.010686235516859174,2429059.6744749597,2,0.9784304381201053
CCL,0.0006413732164216803,0.013814503345374391,4087447.678513732,0,0.6423063101869437
CDNS,0.0008850222777648514,0.013154093334879437,2897327.647819063,2,0.8668267699913926
CELG,0.0006155152311971839,0.018128641856172804,5308575.21647819,0,0.9901283126931981
CERN,0.0003606076202141661,0.013992272338119893,2042642.8368336025,2,0.959110348209999
CF,0.00022986575894280725,0.02171041982557069,4207915.018578352,0,0.9745323483088406
CFG,0.0009672580562927709,0.0157353964798618,5252380.581423402,0,0.9635443177335066
CHD,0.00040476384287259164,0.009380343718428519,1556126.3432956382,2,0.990129143842588
CHK,-0.0007482324173765095,0.034992081301056556,25140346.04927302,1,1.0
